decision,sim_time_s,robot_id,policy_action,executed_action,action_source,pos_x,pos_y,heading_deg,balls_held,target_x,target_y,us_score,opp_score,margin,reward,top_component,travelled_in,low_progress,balls_on_field,wall_ms
,,,,,,,,,,,,,,,,,,,,
0,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,71.5,36.0,152,4,70.1,36.7,0,0,0,-0.8600,collect_red=-0.500,40.7,0,40,1109.2
1,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,28.5,38.0,273,3,49.0,40.0,0,3,-3,-9.6063,score_red=-9.000,43.0,0,40,1649.9
2,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.4,36.0,269,2,23.6,36.4,9,6,3,8.1452,score_blue=+18.000,5.5,0,37,1691.6
3,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.4,35.9,270,1,,,18,6,12,21.9714,score_blue=+18.000,0.1,0,35,1646.4
4,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,23.3,35.9,270,1,,,18,9,9,-9.4429,score_red=-9.000,0.1,0,34,1645.3
5,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,94.7,31.5,9,1,,,21,9,12,5.5571,score_blue=+6.000,71.5,0,33,1665.3
6,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,36.5,40.9,16,1,49.0,40.0,21,9,12,-0.6079,scoring_volume=-0.480,58.9,0,33,1646.1
7,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,66.5,37.3,6,0,23.6,36.4,24,9,15,5.4668,score_blue=+6.000,30.3,0,33,1638.6
8,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,108.4,74.7,100,1,95.0,40.0,24,9,15,-1.1429,collect_red=-0.500,56.1,0,32,1651.2
9,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,115.6,104.8,91,1,120.4,107.6,24,9,15,-0.9206,scoring_volume=-0.480,30.9,0,32,1649.2
10,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,120.3,108.1,90,1,120.4,107.6,30,12,18,2.8771,score_blue=+12.000,5.8,0,29,1641.4
11,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,119.5,108.1,90,1,,,33,12,21,15.0371,margin_milestone=+10.000,0.8,0,28,1647.2
12,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,92.8,108.9,235,1,120.4,107.6,33,15,18,-10.0762,score_red=-9.000,26.7,0,27,1658.7
13,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,77.4,100.1,218,2,95.0,104.0,33,15,18,-0.5656,scoring_volume=-0.300,17.8,0,26,1639.5
14,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,115.5,105.7,91,2,95.0,104.0,33,15,18,-0.6611,scoring_volume=-0.300,38.6,0,26,1641.6
15,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,75.1,116.9,289,1,120.4,107.6,36,18,18,-3.2100,score_red=-9.000,41.9,0,25,1650.4
16,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,87.9,111.7,171,1,95.0,104.0,36,18,18,-0.4503,scoring_volume=-0.240,13.8,0,25,1646.4
17,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,115.3,106.5,90,1,95.0,104.0,36,18,18,-0.4079,scoring_volume=-0.240,27.9,0,25,1648.3
18,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,68.7,108.3,346,1,120.4,107.6,39,18,21,5.1304,score_blue=+6.000,46.7,0,24,1652.4
19,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,115.5,105.8,90,1,95.0,104.0,39,18,21,-0.3924,scoring_volume=-0.180,46.9,0,24,1651.5
20,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,46.9,117.5,174,0,120.4,107.6,39,21,18,-9.2229,score_red=-9.000,69.7,0,24,1656.8
21,120.0,0,COLLECT_NEAREST_BALL,COLLECT_NEAREST_BALL,policy,31.7,119.2,174,1,30.3,119.3,39,21,18,-0.1429,scoring_volume=-0.180,15.3,0,23,992.6
22,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,19.7,111.1,155,2,23.6,107.6,42,21,21,5.1802,score_blue=+6.000,14.4,0,21,1646.3
23,120.0,0,SCORE_LONG_GOAL,SCORE_LONG_GOAL,policy,57.7,108.7,353,0,23.6,107.6,45,24,21,-3.2371,score_red=-9.000,38.1,0,21,1651.4
